tweetcreatedts,username,location,retweetcount,text,hashtags
2021-07-06 23:57:01,detikcom,"Jakarta, Indonesia",4,"Sebuah kafe di Buleleng, Bali, digerebek oleh petugas gabungan. Tempat hiburan itu digerebek lantaran masih melayani makan/minum di tempat saat PPKM Darurat. https://t.co/iHXLKoEfSM",[]
2021-07-06 23:57:01,polresjembrana,"Jembrana, Bali",0,"Door to Door, Ingat PPKM Darurat Pembatasan Waktu Bagi Pelaku Usaha https://t.co/ZXwYK2PzRq",[]
2021-07-06 23:57:00,detikfinance,"Jakarta, Indonesia",0,"#mostpop Sri Mulyani kembali menaikkan anggaran kesehatan untuk penanggulangan Covid-19 dari Rp 182 triliun menjadi Rp 193 triliun. Menurut Sri Mulyani, kenaikan anggaran ini karena adanya lonjakan kasus Covid-19 dan kebijakan PPKM darurat. https://t.co/vL1uux2Hhq","[{'text': 'mostpop', 'indices': [0, 8]}]"
2021-07-06 23:56:52,HumasKasihan,,0,Anngota piket polsek kasihan dipimpin Ipda Basroni achmadi melaksanakan teguran dalan rangka PPKM darurat https://t.co/5D7KCeLm1R,[]
2021-07-06 23:56:39,FiraAprllll,,0,"Menurut Gubernur Jatim, pada saat PPKM Darurat ini, kita semua se-Jawa Bali memang diharapkan untuk memaksimalkan vaksinasi",[]
2021-07-06 23:56:34,situnadia,"Kalimantan Tengah, Indonesia",0,"PPKM darurat, Kemensos segera cairkan Bantuan Sosial Tunai (BST) Rp 600.000
Torang Jaga Indonesia
https://t.co/gpGd8PmNsb",[]
2021-07-06 23:56:28,DhonyFirmansyah,Indonesia-Japan,0,"Selama PPKM dimana perpanjangan SIM yg masih beroperasi normal?
cc: @e100ss",[]
2021-07-06 23:56:14,kekasiihGelapmu,DK,0,"PPKM

Pengen Peyuk KaMu 👉👈",[]
2021-07-06 23:56:10,TarwadiC,,1,"@tempodotco Opung ini menteri rasa presiden,  main perintah seluruh rakyat negeri ini untuk manut,  mbok ya bercermin di seluruh pelisok negeri ada ppkm,  rakyat susah cari nafkah, ini seenak jidat TKA masuk indonesia tanpa pembatasan, sungguh luar biasa kebijakan negeri",[]
2021-07-06 23:56:08,madhazzzz,,0,@AyuEstiningtyas @VisitBoyolali Pas ppkm po iseh dibuka?,[]
2021-07-06 23:56:03,SaveIDN,Indonesia,2,Kepada seluruh provokator dan oportunis di negeri ini. Apa yang kalian inginkan dari usaha memprovokasi masyarakat agar melawan aturan PPKM Darurat? Apakah kalian ingin rakyat Indonesia mati konyol? https://t.co/7LkAKUP2sU,[]
2021-07-06 23:56:01,Genpi_Co,Indonesia,0,Pemerintah kembali melanjutkan beberapa program perlindungan sosial. Apa saja jenis bantuan sosial yang diberikan pemerintah kepada masyarakat di Juli 2021? #ppkm https://t.co/LPSyU37haK,"[{'text': 'ppkm', 'indices': [157, 162]}]"
2021-07-06 23:56:01,Agus67861463,"Pasar Minggu, Indonesia",0,PPKM= pak plecident kapam mundur?,[]
2021-07-06 23:56:00,DITJEN_PAS,"Jl. Veteran No.11, Jakarta",0,"Pantau PPKM Darurat, LPN Pamekasan Sambut Patroli Sambang TNI https://t.co/mspL107inB https://t.co/A74wgn4kSf",[]
2021-07-06 23:55:56,_antaresh29,,8,"MARAH BOLEH tapi cel faktanya dulu... 

Ternyata Pemprov DKI obral surat izin WFO ke banyak perusahaan. Masak pak Anies gak tau❓❓Anak buah yang tidak mentaati aturan PPKM Darurat patut di tindak tegas. Bukan begitu pak Anies❓❓

Tapi masa sigh Gubernur gk tau🤔🤔🤔 https://t.co/LOmMtFC78t",[]
2021-07-06 23:55:47,RasidoNjungkeL,,0,@geloraco Indonesia  masih  sibuk PPKM  😆,[]
2021-07-06 23:55:44,kahsikacang,Somewhere Under The Sky,0,"ppkm darurat atau apapun itulah namanya, semua orang sebisa mungkin diem di rumah. tapi kenapa dirimu mampir ke mimpi ku semalam? ea.",[]
2021-07-06 23:55:35,krsnstya,Desa Vrindavan,0,Saran hero buat pusreg selama ppkm buat di ml sama dota?,[]
2021-07-06 23:55:24,Hz30hs4f,,0,@susucapi Apakah presiden tidak berpikir bagaimana nasib mereka kalau usaha nya di larang Karna alasan PPKM?,[]
2021-07-06 23:55:12,grobogan_polres,,0,"MAU SELAMAT DARI SERBUAN COVID?
PATUHI ATURAN SELAMA PPKM DARURAT! https://t.co/frZGI9ifqU",[]
2021-07-06 23:55:12,suchajn,,0,"kesel bat sama atasan ayah w ngapa sih nugasin tu keluar kota mulu, terus pemerintah buat ppkm tu buat apa..",[]
2021-07-06 23:55:07,hidahidaan,Di alam bawah sadarmu..,0,PPKM. Pagi Pagi Kepengen Makan.,[]
2021-07-06 23:55:07,Miduk17,"DKI Jakarta, Indonesia",50,"Ada gubernur yang acting marah2 kepada perusahaan swasta karena tetap beroperasi saat PPKM

Tapi dia ga tau perusahaan tsb memang harus beroperasi selama PPKM darurat

Gubernur kok suka ngelawak sih? 

Niat pengen terlihat bekerja ehh malah ngetes otak dangkal sendiri 🤣",[]
2021-07-06 23:54:59,rinichan02,,0,"Mulai hari ini, sebaiknya pak ⁦@aniesbaswedan⁩ mencari tau lebih banyak lagi mengenai perusahaan2 yg akan disidak, spy marah2nya nggak mubadzir...

Tanggapan PT Equity Life Indonesia Kantornya Disidak Anies Saat PPKM Darurat | https://t.co/BVhuFLS7Zj https://t.co/miuRnB6X6W",[]
2021-07-06 23:54:56,grobogan_polres,,0,Bhabinkamtibmas Dan Babinsa Kompak Lakukan Penertiban Protokol Kesehatan Dalam Rangka Mendukung Pelaksanaan PPKM Darurat https://t.co/ohjrd67K3J,[]
2021-07-06 23:54:54,PolsekKotaSuko2,,0,Patuhi aturan PPKM Darurat. Patuhi protokol kesehatan dan tetap di rumah https://t.co/fmgy5ki4Di,[]
2021-07-06 23:54:54,starilestari,Tangerang - Bandung,0,"Mau nanya dong, yang dari Bandung bisa ke Jakarta ga sih lagi ppkm begini? Saya ada jadwal vaksin di jakarta soalnya Senin minggu depan. 

Harusnya minggu ini, tapi mendadak diundur. Daftarnya juga udah jauh-jauh hari. Kalau cancel dan nunggu vaksin di Bandung belum jelas kapan--",[]
2021-07-06 23:54:52,polresjembrana,"Jembrana, Bali",0,Apel Malam Kesiapan Personil Dalam Memberikan Himbauan Pembatasan PPKM Darurat https://t.co/15mYupTVoM,[]
2021-07-06 23:54:43,AjengSalsabia,,0,Dan Ini dilakukannya semenjak diberlakukannya PPKM Darurat ya,[]
2021-07-06 23:54:33,AtaSuryadiSH,"Bekasi, Jawa Barat, Indonesia",0,"PPKM adalah singkatan yg ujungnya Pak Presiden Kapan Mundur? 

Meminta Presiden kita Mundur dari jabatan yang belum selesai, 

Jangankan dukungan 3 periode, sekarang blm selesai saja sebagian rakyat meminta baiknya Mundur saja. 
Buang jauh2 hasrat 3 periode!!!!",[]
2021-07-06 23:54:32,Mukhalip1,,0,"Saat PPKM Darurat disesuaikan ibadahnya sprti berikut. Ini resmi dari MUI utk jadi panduan bagi umat Islam. 
.
Ingat ya. Covid-19 itu nyata dan kita wajib menghindarinya. Berupaya secara manusiasi sesuai anjuran medis seraya mendekatkan diri berdoa kpd Allah dan amal shaleh https://t.co/vCnZjajLx9",[]
2021-07-06 23:54:31,kismin666oys,Denpasar & Kerobokan,9,"Skrg bukan tahun 2021 dengan PPKM mikro nya.

Skrg tahun 2012 km pulang nobar dari brewers beergarden dengan gembira ukup megang spanyol https://t.co/4G2NLwp08X",[]
2021-07-06 23:54:29,s_wae,Indonesia,0,"@budiwidagdo2 @FKadrun Ppkm buat tedeng aling2 ngejarah rakyat,  biadab",[]
2021-07-06 23:54:17,grobogan_polres,,0,Patroli Woro – Woro Dan Penertiban Protokol Kesehatan Digelar Dalam Rangka Mendukung Pelaksanaan PPKM Darurat https://t.co/BDFgJooGWM,[]
